id,supplierName,invoiceNumber,amount,paymentDate,bankTransferData,status,discrepancyReason
AP001,田中鋼材株式会社,INV-T001,3000000,2024-02-19,振込済み,照合済み,
AP002,山田金属,INV-Y001,800000,2024-02-20,振込済み,照合済み,
AP003,佐藤化学工業,INV-S001,375000,2024-02-21,振込済み,照合済み,
AP004,鈴木電子,INV-SU001,720000,2024-02-23,振込済み,未照合,
AP005,高橋ゴム,INV-T002,350000,2024-02-23,振込済み,照合済み,
AP006,中村精密,INV-N001,1000000,2024-02-25,振込済み,手動対応,金額相違
AP007,小林包装,INV-K001,250000,2024-02-25,振込済み,照合済み,
AP008,加藤工具,INV-KA001,1200000,2024-02-27,振込済み,未照合,
AP009,伊藤石油,INV-I001,270000,2024-02-27,振込済み,照合済み,
AP010,渡辺安全用品,INV-W001,510000,2024-02-29,振込済み,手動対応,支払日相違
AP011,松本計測,INV-M001,900000,2024-03-01,振込済み,未照合,
AP012,木村電線,INV-KI001,360000,2024-03-01,振込済み,照合済み,
AP013,林化学,INV-H001,560000,2024-03-02,振込済み,照合済み,
AP014,清水研磨,INV-SH001,650000,2024-03-04,振込済み,手動対応,システム登録遅延
AP015,吉田フィルム,INV-Y002,375000,2024-03-05,振込済み,未照合, 
