id,companyName,invoiceNumber,amount,dueDate,status,overdueDays
AR001,株式会社サンプル商事,REQ-2024-001,600000,2024-02-14,入金済み,
AR002,田中電機株式会社,REQ-2024-002,240000,2024-02-15,入金済み,
AR003,山田工業,REQ-2024-003,360000,2024-02-16,未入金,
AR004,佐藤商店,REQ-2024-004,100000,2024-02-17,期限超過,15
AR005,鈴木システムズ,REQ-2024-005,45000,2024-02-18,一部入金,
AR006,高橋テクノロジー,REQ-2024-006,250000,2024-02-19,入金済み,
AR007,中村エレクトロニクス,REQ-2024-007,100000,2024-02-20,未入金,
AR008,小林商会,REQ-2024-008,180000,2024-02-21,期限超過,8
AR009,加藤情報システム,REQ-2024-009,200000,2024-02-22,入金済み,
AR010,伊藤機械,REQ-2024-010,96000,2024-02-23,未入金,
AR011,渡辺産業,REQ-2024-011,360000,2024-02-24,一部入金,
AR012,松本電子,REQ-2024-012,400000,2024-02-25,入金済み,
AR013,木村商事,REQ-2024-013,270000,2024-02-26,未入金,
AR014,林総合商社,REQ-2024-014,240000,2024-02-27,期限超過,3
AR015,清水テック,REQ-2024-015,150000,2024-02-28,未入金, 
