id,documentType,supplierName,orderIds,ocrStatus,matchStatus,discrepancies,uploadDate,verifiedDate
DOC001,納品書,田中鋼材株式会社,ORD001,完了,一致,,2024-01-20,2024-01-21
DOC002,請求書,田中鋼材株式会社,ORD001,完了,一致,,2024-01-25,2024-01-26
DOC003,納品書,山田金属,ORD002,完了,一致,,2024-01-21,2024-01-22
DOC004,請求書,山田金属,ORD002,完了,不一致,金額相違,2024-01-26,2024-01-27
DOC005,納品書,佐藤化学工業,ORD003,完了,一致,,2024-01-22,2024-01-23
DOC006,請求書,佐藤化学工業,ORD003,完了,一致,,2024-01-27,2024-01-28
DOC007,納品書,鈴木電子,ORD004,処理中,未照合,,2024-01-23,
DOC008,請求書,鈴木電子,ORD004,エラー,未照合,OCR読み取り失敗,2024-01-28,
DOC009,納品書,高橋ゴム,ORD005,完了,一致,,2024-01-24,2024-01-25
DOC010,請求書,高橋ゴム,ORD005,完了,一致,,2024-01-29,2024-01-30
DOC011,納品書,中村精密,ORD006,完了,不一致,数量相違,2024-01-25,2024-01-26
DOC012,請求書,中村精密,ORD006,要修正,未照合,手動修正必要,2024-01-30,
DOC013,納品書,小林包装,ORD007,完了,一致,,2024-01-26,2024-01-27
DOC014,請求書,小林包装,ORD007,完了,一致,,2024-01-31,2024-02-01
DOC015,納品書,加藤工具,ORD008,処理中,未照合,,2024-01-27, 
