id,companyName,invoiceNumber,totalAmount,issueDate,dueDate,status
INV001,株式会社サンプル商事,REQ-2024-001,600000,2024-01-15,2024-02-14,発行済み
INV002,田中電機株式会社,REQ-2024-002,240000,2024-01-16,2024-02-15,発行済み
INV003,山田工業,REQ-2024-003,360000,2024-01-17,2024-02-16,未発行
INV004,佐藤商店,REQ-2024-004,100000,2024-01-18,2024-02-17,発行済み
INV005,鈴木システムズ,REQ-2024-005,45000,2024-01-19,2024-02-18,未発行
INV006,高橋テクノロジー,REQ-2024-006,250000,2024-01-20,2024-02-19,発行済み
INV007,中村エレクトロニクス,REQ-2024-007,100000,2024-01-21,2024-02-20,発行済み
INV008,小林商会,REQ-2024-008,180000,2024-01-22,2024-02-21,未発行
INV009,加藤情報システム,REQ-2024-009,200000,2024-01-23,2024-02-22,発行済み
INV010,伊藤機械,REQ-2024-010,96000,2024-01-24,2024-02-23,未発行
INV011,渡辺産業,REQ-2024-011,360000,2024-01-25,2024-02-24,発行済み
INV012,松本電子,REQ-2024-012,400000,2024-01-26,2024-02-25,発行済み
INV013,木村商事,REQ-2024-013,270000,2024-01-27,2024-02-26,未発行
INV014,林総合商社,REQ-2024-014,240000,2024-01-28,2024-02-27,発行済み
INV015,清水テック,REQ-2024-015,150000,2024-01-29,2024-02-28,未発行 
