id,date,amount,accountName,memo,status
PAY001,2024-02-14,600000,株式会社サンプル商事,REQ-2024-001 請求書代金,照合済み
PAY002,2024-02-15,240000,田中電機株式会社,請求書代金,照合済み
PAY003,2024-02-16,25000,鈴木システムズ,部分支払い,照合済み
PAY004,2024-02-17,200000,加藤情報システム,システム開発費,照合済み
PAY005,2024-02-18,150000,渡辺産業,部分支払い,照合済み
PAY006,2024-02-19,250000,高橋テクノロジー,機器代金,照合済み
PAY007,2024-02-20,400000,松本電子,スマートフォン代金,照合済み
PAY008,2024-02-21,50000,不明,手数料,未照合
PAY009,2024-02-22,75000,不明,振込手数料込み,未照合
PAY010,2024-02-23,100000,不明,現金振込,手動対応
PAY011,2024-02-24,180000,不明,請求書支払い,未照合
PAY012,2024-02-25,45000,不明,一部支払い,未照合
PAY013,2024-02-26,95000,不明,月末締め支払い,手動対応
PAY014,2024-02-27,220000,不明,システム利用料,未照合
PAY015,2024-02-28,85000,不明,振込代金,未照合 
