id,supplierName,invoiceNumber,amount,dueDate,paymentDate,status,reminderSent
PS001,田中鋼材株式会社,INV-T001,3000000,2024-02-20,2024-02-19,支払済み,false
PS002,山田金属,INV-Y001,800000,2024-02-21,2024-02-20,支払済み,false
PS003,佐藤化学工業,INV-S001,375000,2024-02-22,2024-02-21,支払済み,false
PS004,鈴木電子,INV-SU001,720000,2024-02-23,,予定,true
PS005,高橋ゴム,INV-T002,350000,2024-02-24,2024-02-23,支払済み,false
PS006,中村精密,INV-N001,1000000,2024-02-25,,予定,true
PS007,小林包装,INV-K001,250000,2024-02-26,2024-02-25,支払済み,false
PS008,加藤工具,INV-KA001,1200000,2024-02-27,,予定,false
PS009,伊藤石油,INV-I001,270000,2024-02-28,2024-02-27,支払済み,false
PS010,渡辺安全用品,INV-W001,510000,2024-02-29,,予定,true
PS011,松本計測,INV-M001,900000,2024-03-01,,予定,false
PS012,木村電線,INV-KI001,360000,2024-03-02,2024-03-01,支払済み,false
PS013,林化学,INV-H001,560000,2024-03-03,2024-03-02,支払済み,false
PS014,清水研磨,INV-SH001,650000,2024-03-04,,予定,true
PS015,吉田フィルム,INV-Y002,375000,2024-03-05,,期限超過,true 
